"BehaviorSpace results (NetLogo 6.0.4)"
"ibc/ibc_com_corrected_all_review.nlogo"
"experiment_patches"
"05/11/2022 13:27:23:849 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","perc_small","size_small","bold_prob","[step]","ticks","spec_num","count turtles with [species = 0]","count turtles with [species = 1]","count turtles with [species = 2]","count turtles with [species = 3]","count turtles with [species = 4]","count turtles with [species = 5]","count turtles with [species = 6]","count turtles with [species = 7]","count turtles with [species = 8]","count turtles with [species = 9]","mean [mass] of turtles","mean [hrsize] of turtles","mean [forage_small] of turtles with [species = 0]","mean [forage_small] of turtles with [species = 1]","mean [forage_small] of turtles with [species = 2]","mean [forage_small] of turtles with [species = 3]","mean [forage_small] of turtles with [species = 4]","mean [forage_small] of turtles with [species = 5]","mean [forage_small] of turtles with [species = 6]","mean [forage_small] of turtles with [species = 7]","mean [forage_small] of turtles with [species = 8]","mean [forage_small] of turtles with [species = 9]","count turtles with [core = 1 and species = 0]","count turtles with [core = 1 and species = 1]","count turtles with [core = 1 and species = 2]","count turtles with [core = 1 and species = 3]","count turtles with [core = 1 and species = 4]","count turtles with [core = 1 and species = 5]","count turtles with [core = 1 and species = 6]","count turtles with [core = 1 and species = 7]","count turtles with [core = 1 and species = 8]","count turtles with [core = 1 and species = 9]","count turtles with [core = 2 and species = 0]","count turtles with [core = 2 and species = 1]","count turtles with [core = 2 and species = 2]","count turtles with [core = 2 and species = 3]","count turtles with [core = 2 and species = 4]","count turtles with [core = 2 and species = 5]","count turtles with [core = 2 and species = 6]","count turtles with [core = 2 and species = 7]","count turtles with [core = 2 and species = 8]","count turtles with [core = 2 and species = 9]","count turtles with [ss-use and species = 0]","count turtles with [ss-use and species = 1]","count turtles with [ss-use and species = 2]","count turtles with [ss-use and species = 3]","count turtles with [ss-use and species = 4]","count turtles with [ss-use and species = 5]","count turtles with [ss-use and species = 6]","count turtles with [ss-use and species = 7]","count turtles with [ss-use and species = 8]","count turtles with [ss-use and species = 9]"
"29","0","1","0.05","1186","1186","4","565","59","5","1","0","0","0","0","0","0","0.011138957741720875","1.9674343062551536","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","565","59","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","0","1","0.05","1207","1207","4","481","72","47","0","0","0","0","0","2","0","0.012889629043109127","2.48742447097881","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","481","72","47","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","0","1","0.05","981","981","4","521","91","9","0","0","0","0","0","1","0","0.01178876880153626","2.124363043568378","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","521","91","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","0","1","0.05","1355","1355","4","582","37","15","0","1","0","0","0","0","0","0.010903539052423169","1.9623195236957323","0","0","0","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","582","37","15","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","0","1","0.05","1251","1251","4","496","83","38","3","0","0","0","0","0","0","0.012608573297055024","2.1524507781562314","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","496","83","38","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","0","1","0.05","1611","1611","4","574","48","4","7","0","0","0","0","0","0","0.010983702550205816","2.132498574897774","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","574","48","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","0","1","0.05","1960","1960","4","514","78","13","0","0","4","0","0","0","0","0.011996663315397602","1.9724265646586818","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","514","78","13","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","1","0.05","1897","1897","4","563","67","3","0","3","0","0","0","0","0","0.011169448707968497","2.0129843613077316","0","0","0","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","563","67","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","0","1","0.05","1722","1722","4","573","29","9","0","0","0","1","0","0","0","0.010853903145871065","2.1831690499405836","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","573","29","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","0","1","0.1","903","903","4","440","55","63","10","0","0","0","0","0","0","0.013445632650233914","2.3973400974254075","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","440","55","63","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","1","0.05","2361","2361","4","644","18","0","0","4","0","0","0","1","0","0.010309416528233905","1.725279679064858","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","644","18","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","0","1","0.1","667","667","4","417","95","34","12","0","0","0","0","0","0","0.01341629618529468","2.530491855554307","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","417","95","34","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","0","1","0.1","1096","1096","4","424","112","23","8","0","0","0","0","0","0","0.013228324459001572","2.1888677962580543","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","424","112","23","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","0","1","0.1","1217","1217","4","417","157","0","0","5","2","0","0","0","0","0.01300711519285493","2.411131170784874","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","417","157","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","0","1","0.1","1595","1595","4","533","78","0","5","1","0","0","0","0","0","0.011514441840507685","2.3111880127128086","0","0","<RuntimePrimitiveException>","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","533","78","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","1","0.1","1272","1272","4","398","136","31","0","3","0","0","0","0","0","0.013562082795557059","2.505779256147082","0","0","0","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","398","136","31","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","0","1","0.1","1682","1682","4","518","31","35","0","0","5","0","0","0","0","0.01209837822289966","2.151785415180746","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","<RuntimePrimitiveException>","518","31","35","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
